1;16564900;17892900;19589476
2;16892100;17147881;18524416
3;17205904;16760836;17994564
4;16418704;16548624;17994564
5;15824484;16394401;18267076
6;15984004;16265089;17422276
7;15984004;16232841;18472804
8;15555136;16257024;18472804
9;15460624;16032016;17489124
10;15460624;15681600;17222500
11;15335056;15610401;17172736
12;15085456;15602500;17272336
13;15085456;15452761;17859076
14;15007876;15397776;16826404
15;15085456;15547249;17056900
16;14868736;15132100;15984004
17;14868736;15038884;16418704
18;14868736;15054400;16548624
19;14868736;15085456;17405584
20;14868736;15100996;16662724
21;14807104;15031129;16744464
22;14807104;14976900;17438976
23;14807104;14861025;17073424
24;14807104;14899600;17489124
25;14807104;15054400;16990884
26;14807104;14992384;17355556
27;14807104;15000129;17172736
28;14807104;14953689;17338896
29;14807104;14907321;16695396
30;14807104;15007876;16990884
31;14807104;14953689;17892900
32;14760964;14915044;16990884
33;14807104;15132100;17808400
34;14807104;14915044;16679056
35;14807104;14899600;18249984
36;14760964;14953689;17338896
37;14760964;14969161;16744464
38;14760964;15007876;15936064
39;14760964;14891881;17040384
40;14760964;15108769;17438976
41;14760964;14868736;17322244
42;14760964;14845609;16826404
43;14760964;14784025;15366400
44;14760964;14868736;17073424
45;14760964;14953689;17040384
46;14760964;15007876;16842816
47;14760964;15178816;17489124
48;14745600;14876449;16662724
49;14745600;15062161;17774656
50;14760964;14907321;18164644
51;14760964;15015625;17255716
52;14760964;14861025;17073424
53;14760964;14830201;16096144
54;14760964;14830201;16305444
55;14760964;14907321;17472400
56;14760964;14922769;17239104
57;14745600;15062161;17239104
58;14760964;15031129;18249984
59;14760964;14922769;16096144
60;14760964;14992384;16974400
61;14760964;14837904;17489124
62;14760964;14930496;17372224
63;14745600;14845609;16305444
64;14745600;14837904;16597476
65;14745600;14907321;17757796
66;14745600;14915044;17808400
67;14745600;14876449;17255716
68;14745600;15015625;17774656
69;14745600;14992384;16793604
70;14745600;15000129;16924996
71;14745600;15054400;17757796
72;14745600;14876449;17255716
73;14745600;14845609;16728100
74;14745600;14884164;17757796
75;14745600;14853316;16386304
76;14745600;15000129;17774656
77;14745600;14830201;17388900
78;14745600;14876449;17388900
79;14745600;14915044;16548624
80;14745600;14907321;16793604
81;14745600;14992384;17073424
82;14745600;14961424;17388900
83;14745600;14992384;17539344
84;14745600;14953689;16337764
85;14745600;14845609;16793604
86;14745600;14868736;16793604
87;14745600;14969161;17438976
88;14745600;14953689;17388900
89;14745600;14868736;17073424
90;14745600;14915044;16793604
91;14745600;14814801;16581184
92;14745600;14930496;16842816
93;14745600;14822500;16418704
94;14745600;14922769;16662724
95;14745600;14930496;16728100
96;14745600;14907321;17774656
97;14745600;14884164;17757796
98;14745600;14876449;16842816
99;14745600;14807104;16418704
100;14745600;14884164;16842816
